lG_and_S_frontomargin,
lG_and_S_transv_frontopol,
lG_front_inf-Opercular,
lG_front_inf-Orbital,
lG_front_inf-Triangul,
lG_front_middle,
lG_front_sup,
lG_orbital,
lG_precentral,
lG_rectus,
lLat_Fis-ant-Horizont,
lLat_Fis-ant-Vertical,
lS_central,
lS_front_inf,
lS_front_middle,
lS_front_sup,
lS_orbital-H_Shaped,
lS_orbital_lateral,
lS_orbital_med-olfact,
lS_precentral-inf-part,
lS_precentral-sup-part,
lS_suborbital,
lG_and_S_cingul-Ant,
lG_and_S_cingul-Mid-Ant,
lG_and_S_cingul-Mid-Post,
lG_cingul-Post-dorsal,
lG_cingul-Post-ventral,
lG_subcallosal,
lS_cingul-Marginalis,
lS_pericallosal,
lG_Ins_lg_and_S_cent_ins,
lG_insular_short,
lLat_Fis-post,
lS_circular_insula_ant,
lS_circular_insula_inf,
lS_circular_insula_sup,
lG_and_S_paracentral,
lG_and_S_subcentral,
lG_parietal_sup,
lG_pariet_inf-Angular,
lG_pariet_inf-Supramar,
lG_postcentral,
lG_precuneus,
lS_interm_prim-Jensen,
lS_intrapariet_and_P_trans,
lS_parieto_occipital,
lS_postcentral,
lS_subparietal,
lG_oc-temp_med-Parahip,
lG_temporal_inf,
lG_temporal_middle,
lG_temp_sup-G_T_transv,
lG_temp_sup-Lateral,
lG_temp_sup-Plan_polar,
lG_temp_sup-Plan_tempo,
lPole_temporal,
lS_collat_transv_ant,
lS_temporal_inf,
lS_temporal_sup,
lS_temporal_transverse,
lG_and_S_occipital_inf,
lG_cuneus,
lG_occipital_middle,
lG_occipital_sup,
lG_oc-temp_lat-fusifor,
lG_oc-temp_med-Lingual,
lPole_occipital,
lS_calcarine,
lS_collat_transv_post,
lS_occipital_ant,
lS_oc_middle_and_Lunatus,
lS_oc_sup_and_transversal,
lS_oc-temp_lat,
lS_oc-temp_med_and_Lingual,
rS_oc-temp_med_and_Lingual,
rS_oc-temp_lat,
rS_oc_sup_and_transversal,
rS_oc_middle_and_Lunatus,
rS_occipital_ant,
rS_collat_transv_post,
rS_calcarine,
rPole_occipital,
rG_oc-temp_med-Lingual,
rG_oc-temp_lat-fusifor,
rG_occipital_sup,
rG_occipital_middle,
rG_cuneus,
rG_and_S_occipital_inf,
rS_temporal_transverse,
rS_temporal_sup,
rS_temporal_inf,
rS_collat_transv_ant,
rPole_temporal,
rG_temp_sup-Plan_tempo,
rG_temp_sup-Plan_polar,
rG_temp_sup-Lateral,
rG_temp_sup-G_T_transv,
rG_temporal_middle,
rG_temporal_inf,
rG_oc-temp_med-Parahip,
rS_subparietal,
rS_postcentral,
rS_parieto_occipital,
rS_intrapariet_and_P_trans,
rS_interm_prim-Jensen,
rG_precuneus,
rG_postcentral,
rG_pariet_inf-Supramar,
rG_pariet_inf-Angular,
rG_parietal_sup,
rG_and_S_subcentral,
rG_and_S_paracentral,
rS_circular_insula_sup,
rS_circular_insula_inf,
rS_circular_insula_ant,
rLat_Fis-post,
rG_insular_short,
rG_Ins_lg_and_S_cent_ins,
rS_pericallosal,
rS_cingul-Marginalis,
rG_subcallosal,
rG_cingul-Post-ventral,
rG_cingul-Post-dorsal,
rG_and_S_cingul-Mid-Post,
rG_and_S_cingul-Mid-Ant,
rG_and_S_cingul-Ant,
rS_suborbital,
rS_precentral-sup-part,
rS_precentral-inf-part,
rS_orbital_med-olfact,
rS_orbital_lateral,
rS_orbital-H_Shaped,
rS_front_sup,
rS_front_middle,
rS_front_inf,
rS_central,
rLat_Fis-ant-Vertical,
rLat_Fis-ant-Horizont,
rG_rectus,
rG_precentral,
rG_orbital,
rG_front_sup,
rG_front_middle,
rG_front_inf-Triangul,
rG_front_inf-Orbital,
rG_front_inf-Opercular,
rG_and_S_transv_frontopol,
rG_and_S_frontomargin,
